Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,40,0,3,8273.163296774874,2.3005000039120205,67420.6932080051,38.0,0.33652566653448923,0.0,3,4,7,9,66000,66000,67000,67000,67000,67000,67000
POST,/v1/predict_discount,13,0,27,15511.518451845825,9.543250002025161,67809.43029100308,167.3846153846154,0.109370841623709,0.0,27,40,53,66000,68000,68000,68000,68000,68000,68000,68000
,Aggregated,53,0,4,10048.60890084888,2.3005000039120205,67809.43029100308,69.73584905660377,0.4458965081581982,0.0,4,10,12,34,66000,67000,68000,68000,68000,68000,68000
