Method,Name,Error,Occurrences
POST,/v1/predict_discount,HTTPError('500 Server Error: Internal Server Error for url: /v1/predict_discount'),1924
POST,/v1/answer_question,HTTPError('500 Server Error: Internal Server Error for url: /v1/answer_question'),1116
