Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,8231,8127,2,2.231841580479338,0.6583750000572763,126.9548330019461,72.53116267768193,27.52119202775344,27.17345736964551,2,2,2,3,3,4,6,10,30,130,130
POST,/v1/answer_question,3991,3939,2,144.48731548780515,0.8415830016019754,120019.35879200028,152.35880731646205,13.344317504891748,13.170450175837784,2,2,3,3,3,4,7,11,79000,120000,120000
POST,/v1/explain,2700,2671,2,2.4131093655173403,0.7684579977649264,75.53725000252598,85.49814814814815,9.027726700878908,8.930762228906504,2,2,3,3,3,4,7,15,46,76,76
POST,/v1/predict_discount,6832,6727,2,2.488981197011824,0.8092919961200096,132.67537499996251,74.49868266978923,22.843492155705444,22.49241389511571,2,2,3,3,3,4,9,13,43,130,130
,Aggregated,21754,21464,2,28.43335841618272,0.6583750000572763,120019.35879200028,89.40369587202353,72.73672838922954,71.76708366950551,2,2,3,3,3,4,7,11,43,90000,120000
