Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,7127,1,3,4.7142626551117806,1.0339999998905114,263.5681250003472,37.99466816332258,23.80163445975722,0.003339642831451834,3,4,4,5,7,10,15,23,170,260,260
POST,/v1/answer_question,1739,203,11,14.319383951126124,3.2335000005332404,311.39783400067245,4176.555491661875,5.8076388838947395,0.6779474947847223,11,12,15,17,21,26,47,82,310,310,310
POST,/v1/explain,430,0,17,20.484586720934647,10.493709000002127,221.24999999959982,1236.3767441860466,1.4360464175242886,0.0,17,18,19,21,26,39,68,86,220,220,220
POST,/v1/predict_discount,3433,0,15,19.057252433449765,7.237582999550796,294.2816250006217,162.43547917273523,11.464993840374145,0.0,15,17,19,21,25,31,67,95,230,290,290
,Aggregated,12729,204,6,10.42751814973881,1.0339999998905114,311.39783400067245,677.4374263492812,42.51031360155039,0.6812871376161741,6,12,14,15,19,24,35,67,210,310,310
