Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,5212,0,3,4.276700214313934,1.2818749999041756,161.83341699979792,38.0,17.40239458124989,0.0,3,4,4,4,6,9,15,25,150,160,160
POST,/v1/answer_question,1295,766,11,17343.973384235524,1.3166660000933916,120386.44541600002,1845.976833976834,4.323887371972105,2.5576044223402565,11,15,20,26,120000,120000,120000,120000,120000,120000,120000
POST,/v1/explain,470,0,17,20.598301404257615,8.805166000001918,277.8084999999919,1236.4127659574467,1.5692873087466326,0.0,17,18,20,21,26,35,65,97,280,280,280
POST,/v1/predict_discount,2760,0,14,18.431156528261,5.744292000144924,372.9940830000942,163.875,9.215389302427035,0.0,14,16,17,19,24,34,70,130,280,370,370
,Aggregated,9737,766,7,2315.2189470863673,1.2818749999041756,120386.44541600002,371.9836705350724,32.510958564395665,2.5576044223402565,7,12,14,15,20,29,200,120000,120000,120000,120000
