Method,Name,Error,Occurrences
GET,/health,RemoteDisconnected('Remote end closed connection without response'),1
POST,/v1/predict_discount,HTTPError('500 Server Error: Internal Server Error for url: /v1/predict_discount'),566
POST,/v1/answer_question,HTTPError('500 Server Error: Internal Server Error for url: /v1/answer_question'),332
