Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,1736,1,3,4.434427891115472,1.4728329988429323,168.88837500300724,37.97811059907834,5.798771561378011,0.003340306198950467,3,3,3,4,5,11,20,33,170,170,170
POST,/v1/answer_question,413,332,30000.0,44524.632511508324,17030.14429200266,149980.44704199856,1002.8111380145278,1.379546460166543,1.108981658051555,30000,30000,30000,30000,145000,149000,150000,150000,150000,150000,150000
POST,/v1/explain,162,0,17,21.369476579921965,12.844582997786347,57.76333399990108,1236.1543209876543,0.5411296042299757,0.0,17,19,22,24,37,49,56,57,58,58,58
POST,/v1/predict_discount,893,566,30000.0,28715.605699595642,757.8467920029652,30147.159624997585,159.7805151175812,2.982893435662767,1.8906133086059644,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,3204,899,6,13746.213838644466,1.4728329988429323,149980.44704199856,256.87640449438203,10.702341061437297,3.0029352728564698,6,28000,30000,30000,30000,30000,30000,145000,150000,150000,150000
