Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,583,0,3,3.3011711578114524,1.4074590001200704,38.35449999996854,38.0,3.25559682627672,0.0,3,3,3,3,4,6,10,15,38,38,38
POST,/v1/answer_question,74,0,6,7.5407967432376015,3.9077080000424758,42.338083999993614,4601.891891891892,0.41323184415862313,0.0,6,6,6,6,8,22,30,42,42,42,42
POST,/v1/explain,11,0,17,23.343106090888714,13.062834000038492,45.67704200007938,1236.0,0.0614263552127683,0.0,17,25,30,30,45,46,46,46,46,46,46
POST,/v1/predict_discount,258,0,11,16.585260678289863,7.074499999816908,216.66129200002615,160.47674418604652,1.4407272404449292,0.0,11,12,13,13,27,32,93,210,220,220,220
,Aggregated,926,0,3,7.57923668034797,1.4074590001200704,216.66129200002615,451.0723542116631,5.1709822660930405,0.0,3,6,10,10,13,19,31,45,220,220,220
