Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,965,892,2,2.3957026578830387,0.9763749985722825,20.393874998262618,70.27668393782383,5.388785306025535,4.981136262150028,2,2,2,3,3,4,7,9,20,20,20
POST,/v1/answer_question,409,401,2,882.8975996357814,1.0676250021788292,120040.77470800257,163.58924205378972,2.2839514923983875,2.239277624576414,2,2,2,3,3,3,21,24,120000,120000,120000
POST,/v1/explain,229,212,2,3.486347152714518,0.9804170040297322,31.226083003275562,159.3056768558952,1.2787894664039872,1.1838574972822937,2,2,3,3,4,16,21,25,31,31,31
POST,/v1/predict_discount,711,654,2,3.479072251632622,0.999459000013303,33.000208997691516,80.66947960618846,3.970390002677881,3.6520886944463213,2,2,3,3,4,12,26,28,33,33,33
,Aggregated,2314,2159,2,158.4654127851228,0.9763749985722825,120040.77470800257,98.77355229040623,12.921916267505791,12.056360078455057,2,2,3,3,3,6,16,25,120000,120000,120000
