Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,114,39,3,4.413611903337848,1.7712500011839438,143.22183399781352,49.973684210526315,0.9694752395775523,0.33166258196074155,3,3,3,3,4,6,14,22,140,140,140
POST,/v1/answer_question,15,8,4,18323.500383333154,1.1134159976791125,88287.64291699918,2341.0666666666666,0.12756253152336214,0.06803335014579315,4,5,51000,52000,84000,88000,88000,88000,88000,88000,88000
POST,/v1/explain,3,0,45,91.08701366737175,20.846208000875777,207.71816700289492,1237.0,0.025512506304672427,0.0,45,45,210,210,210,210,210,210,210,210,210
POST,/v1/predict_discount,45,17,10,12.307062932975693,1.8599579998408444,99.98562500186381,129.0222222222222,0.38268759457008644,0.14457086905981043,10,12,13,16,27,28,100,100,100,100,100
,Aggregated,177,64,3,1560.354442824655,1.1134159976791125,88287.64291699918,284.3502824858757,1.5052378719756734,0.5442668011663452,3,3,5,10,16,29,51000,84000,88000,88000,88000
