Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,191,0,3,4.751722303651355,1.4271669997469871,52.060707999771694,38.0,1.080849085578813,0.0,3,3,4,4,9,16,22,45,52,52,52
POST,/v1/answer_question,17,0,6,10.629477941085284,5.283874999804539,52.80612499973358,4970.64705882353,0.0962012275122504,0.0,6,6,7,7,29,53,53,53,53,53,53
POST,/v1/explain,27,0,17,18.360527814770144,13.234875000307511,30.253957999775594,1235.9259259259259,0.15279018487239768,0.0,17,19,20,20,26,27,30,30,30,30,30
POST,/v1/predict_discount,114,0,12,19.971577157863514,7.517000000007101,125.65141699997184,167.26315789473685,0.6451141139056791,0.0,13,26,27,28,32,42,62,68,130,130,130
,Aggregated,349,0,7,11.062390063011728,1.4271669997469871,125.65141699997184,413.1719197707736,1.9749546118691403,0.0,7,11,14,17,27,31,45,53,130,130,130
