Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,16118,2,390.0,568.1419822525754,1.7919999997957348,1990.7268330000534,37.99528477478595,53.793347071166075,0.006674940696260835,390,660,880,960,1200,1400,1600,1700,1900,2000,2000
POST,/v1/answer_question,7085,1214,960.0,1097.864242487085,1.6081249998478597,2482.4848749999546,4780.126605504587,23.64597741650401,4.051689002630328,960,1300,1400,1500,1800,2000,2100,2200,2400,2500,2500
POST,/v1/explain,4158,9,880.0,913.5162108650774,12.210958000196115,2186.9424580002033,1233.7857142857142,13.877201707526277,0.03003723313317376,880,1100,1200,1300,1600,1700,1900,1900,2100,2200,2200
POST,/v1/predict_discount,12034,11,880.0,1020.3900184875384,2.9262919999837322,2430.684749999955,169.03814193119496,40.16311816940145,0.0367121738294346,880,1200,1400,1400,1700,1900,2000,2100,2400,2400,2400
,Aggregated,39395,1236,780.0,838.0112835442117,1.6081249998478597,2482.4848749999546,1057.0856961543343,131.47964436459782,4.125113350289197,780,990,1200,1300,1600,1800,2000,2100,2400,2500,2500
