Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,15562,5,410.0,701.474899659474,1.5549579984508455,2336.896708002314,37.98779077239429,51.895669950092305,0.016673843320296977,410,970,1200,1300,1600,1800,1900,2000,2200,2300,2300
POST,/v1/answer_question,6517,1080,1000.0,1284.1442687734223,5.192042008275166,2938.2992920000106,5043.092066901949,21.732687383675078,3.6015501571841466,1000,1600,1800,1900,2200,2400,2500,2600,2800,2900,2900
POST,/v1/explain,3812,15,1100.0,1101.4752246749356,2.6308749947929755,2568.7459589971695,1231.5587618048269,12.712138147394414,0.05002152996089093,1100,1400,1600,1700,2000,2100,2300,2300,2500,2600,2600
POST,/v1/predict_discount,11596,16,960.0,1209.364164792064,3.471083997283131,2866.073540993966,168.78699551569505,38.669977428432745,0.053356298624950324,960,1600,1700,1800,2100,2300,2400,2500,2700,2900,2900
,Aggregated,37487,1116,860.0,1000.5530183660186,1.5549579984508455,2938.2992920000106,1069.9429935711046,125.01047290959455,3.721601829090285,860,1300,1500,1700,1900,2200,2400,2500,2700,2800,2900
