Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,16160,2,400.0,552.6553372586008,1.4365830002134317,1875.1004579999062,37.99529702970297,53.89057573920738,0.006669625710297943,400,650,830,920,1200,1300,1500,1600,1800,1900,1900
POST,/v1/answer_question,6945,1203,970.0,1069.4181571248353,3.7847499997951672,2408.4547909997127,4772.4185745140385,23.160275279009607,4.011779864744213,970,1200,1400,1500,1700,1900,2100,2100,2300,2400,2400
POST,/v1/explain,4054,6,820.0,873.0102435848531,1.058875000126136,2130.839874999765,1234.5083867784904,13.51933131477393,0.02000887713089383,820,1100,1200,1300,1500,1700,1800,1800,2000,2100,2100
POST,/v1/predict_discount,12135,16,880.0,992.9444229849257,1.3445000004139729,2385.4870409995783,168.76580140090647,40.46795399723277,0.053357005682383545,880,1100,1300,1400,1700,1800,2000,2100,2200,2300,2400
,Aggregated,39294,1227,760.0,813.014288485422,1.058875000126136,2408.4547909997127,1038.6094823637197,131.0381363302237,4.091815373267788,760,970,1100,1200,1500,1700,1900,2000,2200,2400,2400
