Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,6949,0,3,4.874777803352131,1.1402499949326739,254.83674999850336,38.0,23.201994103862326,0.0,3,4,4,5,7,10,15,27,210,250,250
POST,/v1/answer_question,1583,19,10,14.101884646803557,3.3934170060092583,239.93554100161418,4966.7946936197095,5.285473689223495,0.06343903985802046,10,12,14,16,21,26,71,130,200,240,240
POST,/v1/explain,200,0,17,25.535621474773507,11.285625005257316,278.2808339979965,1236.03,0.6677793669265312,0.0,17,19,21,23,36,54,250,270,280,280,280
POST,/v1/predict_discount,3097,0,14,18.390846955075723,5.963957999483682,313.954458993976,160.54633516306103,10.340563496857335,0.0,14,16,18,19,24,31,65,120,280,310,310
,Aggregated,11829,19,5,9.997606870082695,1.1402499949326739,313.954458993976,749.929495308141,39.495810656869686,0.06343903985802046,5,11,13,14,18,23,36,75,250,300,310
