Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,1034,954,2,2.4577395308978565,1.0302080008841585,85.47379199808347,70.29206963249517,5.755393001659973,5.310101473485121,2,2,2,3,3,3,7,9,57,85,85
POST,/v1/answer_question,414,406,2,2032.7801055700286,1.0554580003372394,120223.50650000226,202.5144927536232,2.3043836583048636,2.2598545054873784,2,2,2,3,3,4,21,120000,120000,120000,120000
POST,/v1/explain,299,279,2,3.4953508730786993,1.0148330002266448,40.71154199846205,150.80936454849498,1.6642770865535126,1.5529542045097995,2,2,3,3,3,16,22,33,41,41,41
POST,/v1/predict_discount,756,705,2,3.1823852593511917,1.0925830029009376,65.26362500153482,79.56878306878306,4.2080049412523595,3.924131592040891,2,2,3,3,3,11,17,20,65,65,65
,Aggregated,2503,2344,2,338.61896106594486,1.0148330002266448,120223.50650000226,104.58210147822612,13.93205868777071,13.047041775523189,2,2,2,3,3,5,13,20,120000,120000,120000
