Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,169,117,2,3.1256408222862135,1.2876250002591405,19.095833999017486,62.23076923076923,1.4157311315385201,0.9801215526035909,2,3,3,3,5,6,7,8,19,19,19
POST,/v1/answer_question,66,51,3,653.563528999946,1.8200420017819852,42872.67687499843,1434.2878787878788,0.5528890809558717,0.4272324716477191,3,4,5,5,8,13,19,43000,43000,43000,43000
POST,/v1/explain,44,24,6,10.5697025681531,1.8209170011687092,31.20866600147565,601.4772727272727,0.36859272063724785,0.2010505748930443,7,16,17,18,20,27,31,31,31,31,31
POST,/v1/predict_discount,106,76,3,5.892378943483565,1.6744589993322734,28.937374998349696,100.15094339622641,0.887973372444279,0.6366601538279736,3,5,10,10,12,16,24,24,29,29,29
,Aggregated,385,268,3,116.24177998433973,1.2876250002591405,42872.67687499843,369.5090909090909,3.2251863055759187,2.2450647529723278,3,4,5,6,11,17,23,29,43000,43000,43000
