Method,Name,Error,Occurrences
POST,/v1/answer_question,RemoteDisconnected('Remote end closed connection without response'),11
GET,/health,RemoteDisconnected('Remote end closed connection without response'),5
POST,/v1/answer_question,HTTPError('500 Server Error: Internal Server Error for url: /v1/answer_question'),1069
POST,/v1/predict_discount,RemoteDisconnected('Remote end closed connection without response'),16
POST,/v1/explain,RemoteDisconnected('Remote end closed connection without response'),15
