Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,29,0,3,5.8542168618918495,1.9981669975095429,68.98804199590813,38.0,0.35158078878731136,0.0,3,4,4,5,6,10,69,69,69,69,69
POST,/v1/answer_question,2,0,69000.0,69705.7135210016,68615.52487500012,70795.90216700308,9262.5,0.02424695095084906,0.0,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000
POST,/v1/explain,1,0,510.16179099678993,510.16179099678993,510.16179099678993,510.16179099678993,1240.0,0.01212347547542453,0.0,510,510,510,510,510,510,510,510,510,510,510
POST,/v1/predict_discount,23,0,12,18.36031704347672,9.592832997441292,38.011000004189555,165.2608695652174,0.2788399359347642,0.0,12,27,27,27,30,32,38,38,38,38,38
,Aggregated,55,0,10,2554.7936075271787,1.9981669975095429,70795.90216700308,448.5090909090909,0.6667911511483491,0.0,10,11,16,27,32,510,69000,71000,71000,71000,71000
