Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,317,0,3,3.7151599211255606,1.469958000598126,22.542833000443352,38.0,1.797658882804083,0.0,3,3,3,4,7,8,11,20,23,23,23
POST,/v1/answer_question,22,0,7,26.190871318207925,4.318291999879875,160.48675000001822,5760.818181818182,0.1247586606362455,0.0,9,22,23,23,31,160,160,160,160,160,160
POST,/v1/explain,21,0,16,18.68898419044334,13.349374999961583,30.99670800020249,1236.3809523809523,0.11908781242550706,0.0,16,18,21,23,28,29,31,31,31,31,31
POST,/v1/predict_discount,161,0,12,17.43424072674598,7.536125000115135,139.43391700013308,163.86335403726707,0.9130065619288875,0.0,12,13,15,18,28,44,98,99,140,140,140
,Aggregated,521,0,4,9.50726734933357,1.469958000598126,160.48675000001822,366.852207293666,2.954511917794723,0.0,4,9,11,12,19,28,44,98,160,160,160
