Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,7011,3,3,4.096125338181894,0.9349169999950391,229.88441600000442,37.983739837398375,23.41742975534449,0.010020295145633072,3,3,4,4,5,8,12,23,160,230,230
POST,/v1/answer_question,1480,21,7,9.98342318040632,3.2678749998922285,230.7157919999554,4686.845945945946,4.943345605178982,0.0701420660194315,7,9,11,12,16,19,37,68,210,230,230
POST,/v1/explain,166,0,16,23.602864999988704,9.060708000106388,195.8614170000601,1236.3855421686746,0.5544563313916967,0.0,17,18,21,22,38,45,130,190,200,200,200
POST,/v1/predict_discount,3081,0,12,15.26134871080712,5.732499999794527,280.769040999985,160.62966569295682,10.290843114565165,0.0,12,14,15,16,20,26,50,77,220,280,280
,Aggregated,11738,24,4,8.04495587161266,0.9349169999950391,280.769040999985,673.2813085704549,39.20607480648033,0.08016236116506457,4,9,10,12,15,19,30,51,210,230,280
