Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,4469,0,3,6.384892143578481,1.368583005387336,225.24145799980033,38.0,14.924330303690525,0.0,3,4,4,4,7,20,41,84,220,230,230
POST,/v1/answer_question,1221,1116,30000.0,33141.88970675819,25194.04454200412,150036.7620840043,562.7297297297297,4.0775581339910785,3.7269081716085535,30000,30000,30000,30000,30000,30000,150000,150000,150000,150000,150000
POST,/v1/explain,503,0,16,24.949560065463412,11.157291999552399,238.2092920015566,1236.2087475149106,1.679780295984859,0.0,16,18,19,22,48,77,130,150,240,240,240
POST,/v1/predict_discount,2263,1924,30000.0,29843.683522039344,79.26970800326671,30241.019417000643,158.1427308882015,7.557341570206233,6.425243120228367,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,8456,3040,14,12777.15076324847,1.368583005387336,150036.7620840043,217.19548249763483,28.239010303872696,10.15215129183692,14,30000,30000,30000,30000,30000,30000,30000,150000,150000,150000
