Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,333,0,3,3.3147161081284717,1.7258330044569448,16.684249996615108,38.0,1.8615304765507126,0.0,3,3,3,3,4,7,9,9,17,17,17
POST,/v1/answer_question,59,37,120000.0,67530.67939757567,4.401666999910958,136094.96966600273,1915.3898305084747,0.3298207150645407,0.20683671961674585,120000,120000,120000,120000,123000,130000,130000,136000,136000,136000,136000
POST,/v1/explain,33,0,18,22.17313275689252,10.54041700263042,84.86920799623476,1235.939393939394,0.18447599317169225,0.0,18,19,23,27,28,49,85,85,85,85,85
POST,/v1/predict_discount,214,17,20,6241.438260929924,8.85391599877039,30033.634874998825,164.45794392523365,1.1962988648103678,0.09503308739147782,26,3400,9600,13000,27000,30000,30000,30000,30000,30000,30000
,Aggregated,639,54,6,8328.346457184589,1.7258330044569448,136094.96966600273,315.5586854460094,3.5721260495973133,0.30186980700822363,6,12,28,1000,20000,30000,120000,120000,136000,136000,136000
